Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2017,June,2 Eastern, Mitchell,"1,682","3,920.5"
2017,June,2 Eastern, Moira,740,"2,495.6"
2017,June,2 Eastern, Monash,"5,785","2,937.7"
2017,June,2 Eastern, Murrindindi,314,"2,206.0"
2017,June,2 Eastern, South Gippsland,670,"2,285.1"
2017,June,2 Eastern, Strathbogie,270,"2,575.4"
2017,June,2 Eastern, Towong,107,"1,771.8"
2017,June,2 Eastern, Wangaratta,825,"2,859.3"
2017,June,2 Eastern, Wellington,"1,750","3,995.3"
2017,June,2 Eastern, Whitehorse,"4,496","2,594.9"
2017,June,2 Eastern, Wodonga,"1,387","3,398.5"
2017,June,2 Eastern, Yarra Ranges,"3,313","2,112.0"
2017,June,2 Eastern,Total,"51,050","3,041.1"
2017,June,3 Southern Metro, Bayside,"2,774","2,660.1"
2017,June,3 Southern Metro, Cardinia,"2,948","2,878.8"
2017,June,3 Southern Metro, Casey,"10,688","3,270.8"
2017,June,3 Southern Metro, Frankston,"5,970","4,242.5"
2017,June,3 Southern Metro, Glen Eira,"4,004","2,643.7"
2017,June,3 Southern Metro, Greater Dandenong,"8,146","4,981.7"
2017,June,3 Southern Metro, Kingston,"4,466","2,773.0"
2017,June,3 Southern Metro, Mornington Peninsula,"4,910","2,996.9"
2017,June,3 Southern Metro, Port Phillip,"6,889","6,225.6"
2017,June,3 Southern Metro, Stonnington,"5,246","4,611.0"
2017,June,3 Southern Metro,Total,"56,041","3,642.7"
2017,June,4 Western, Ararat,457,"3,887.4"
2017,June,4 Western, Ballarat,"5,720","5,425.8"
2017,June,4 Western, Buloke,93,"1,498.8"
2017,June,4 Western, Campaspe,"1,380","3,670.5"
2017,June,4 Western, Central Goldfields,476,"3,620.3"
2017,June,4 Western, Colac-Otway,928,"4,330.4"
2017,June,4 Western, Corangamite,438,"2,702.0"
2017,June,4 Western, Gannawarra,247,"2,337.0"
2017,June,4 Western, Glenelg,743,"3,773.1"
2017,June,4 Western, Golden Plains,344,"1,524.3"
2017,June,4 Western, Greater Bendigo,"3,790","3,321.9"
2017,June,4 Western, Greater Geelong,"10,165","4,136.7"
2017,June,4 Western, Hepburn,439,"2,808.9"
2017,June,4 Western, Hindmarsh,175,"3,060.5"
2017,June,4 Western, Horsham,936,"4,707.1"
2017,June,4 Western, Loddon,211,"2,810.7"
2017,June,4 Western, Macedon Ranges,878,"1,813.2"
2017,June,4 Western, Mildura,"2,807","5,090.5"
2017,June,4 Western, Moorabool,"1,083","3,238.4"
2017,June,4 Western, Mount Alexander,423,"2,192.1"
2017,June,4 Western, Moyne,334,"1,988.9"
2017,June,4 Western, Northern Grampians,451,"3,916.0"
